DATE,BUSLOANS
1990-07-01,639.9080333333333333
1990-10-01,639.4377666666666667
1991-01-01,635.8031333333333333
1991-04-01,628.4467666666666667
1991-07-01,620.7164666666666667
1991-10-01,619.2609000000000000
1992-01-01,610.2490000000000000
1992-04-01,602.5354666666666667
1992-07-01,598.3129666666666667
1992-10-01,596.7495333333333333
1993-01-01,593.4393000000000000
1993-04-01,587.9324333333333333
1993-07-01,587.0228000000000000
1993-10-01,583.8766333333333333
1994-01-01,590.1073666666666667
1994-04-01,604.7401000000000000
1994-07-01,621.2000000000000000
1994-10-01,637.9340666666666667
1995-01-01,664.8300333333333333
1995-04-01,684.7694666666666667
1995-07-01,702.4834333333333333
1995-10-01,711.3439333333333333
1996-01-01,724.4413666666666667
1996-04-01,736.6436000000000000
1996-07-01,750.4814000000000000
