DATE,UEMP27OV
1990-10-01,814.0000000000000000
1991-01-01,907.6666666666666667
1991-04-01,1044.0000000000000000
1991-07-01,1155.6666666666666667
1991-10-01,1371.6666666666666667
1992-01-01,1699.3333333333333333
1992-04-01,1961.3333333333333333
1992-07-01,2102.6666666666666667
1992-10-01,2080.6666666666666667
1993-01-01,1893.0000000000000000
1993-04-01,1731.6666666666666667
1993-07-01,1765.3333333333333333
1993-10-01,1797.0000000000000000
1994-01-01,1757.3333333333333333
1994-04-01,1674.0000000000000000
1994-07-01,1558.0000000000000000
1994-10-01,1476.0000000000000000
1995-01-01,1301.3333333333333333
1995-04-01,1321.3333333333333333
1995-07-01,1248.6666666666666667
1995-10-01,1229.3333333333333333
1996-01-01,1246.6666666666666667
1996-04-01,1358.6666666666666667
1996-07-01,1271.6666666666666667
