DATE,DPCCRC1M027SBEA
2015-04-01,10790.3000000000000000
2015-07-01,10919.4666666666666667
2015-10-01,11020.9333333333333333
2016-01-01,11151.5666666666666667
2016-04-01,11269.1000000000000000
2016-07-01,11394.9000000000000000
2016-10-01,11521.0666666666666667
2017-01-01,11676.5666666666666667
2017-04-01,11751.7333333333333333
2017-07-01,11867.9333333333333333
2017-10-01,12044.7666666666666667
2018-01-01,12182.9666666666666667
2018-04-01,12348.8666666666666667
2018-07-01,12489.1333333333333333
2018-10-01,12593.3666666666666667
2019-01-01,12699.5666666666666667
2019-04-01,12887.3333333333333333
2019-07-01,13030.6333333333333333
2019-10-01,13146.1666666666666667
2020-01-01,12890.5666666666666667
2020-04-01,11519.7333333333333333
2020-07-01,12755.9666666666666667
2020-10-01,12895.1000000000000000
2021-01-01,.
