avg_weeks_unemployed,cont_claims_insur_unemploy,full_employ_level,part_employ_level,not_in_labor_force,gov_unemp_insur,labor_particip_women,labor_particip_men,labor_particip_total,real_estate_loans,consumer_loans,commerc_indust_loans,m1_real,unemp_less_five_weeks,unemp_5_to_14_wks,unemp_15_to_26_wks,unemp_over_27_wks,personal_consum_exp,personal_save_rate,emp_pop_ratio,unemploy_rate,insured_unemploy_rate,corp_profit_aftertax_without,corp_profit_aftertax_with,corp_profit_beforetax_without,fed_debt_precent_gdp,m1_velocity
7.9,,61019.0,.,.,,34.0,85.8,58.6,15.14,13.8937,23.8827,,973.0,494.0,128.0,48.0,,,57.1,2.5,.,,,,,
8.2,,61456.0,.,.,,34.7,85.8,58.9,15.2691,14.0122,23.7607,,985.0,406.0,120.0,93.0,,,57.4,2.5,.,,,,,
7.9,,61397.0,.,.,,34.6,85.9,58.9,15.3169,14.0443,23.7782,,1002.0,453.0,96.0,72.0,,,57.4,2.6,.,24.201,20.434,45.077,,
8.0,,61151.0,.,.,,34.2,85.7,58.6,15.356,14.1945,23.9951,,1076.0,394.0,111.0,66.0,,,57.1,2.7,.,,,,,
7.1,,60906.0,.,.,,34.3,85.4,58.5,15.4112,14.3168,24.0138,,1163.0,446.0,110.0,68.0,,,56.8,2.9,.,,,,,
7.2,,60893.0,.,.,,34.4,85.4,58.5,15.494,14.3955,23.9825,,1242.0,497.0,124.0,66.0,,,56.7,3.1,.,19.351,17.777,35.591,,
7.9,,60738.0,.,.,,33.9,85.9,58.6,15.5775,14.3646,23.87,,1307.0,591.0,163.0,96.0,,,56.5,3.5,.,,,,,
8.0,,59977.0,.,.,,33.6,85.8,58.3,15.6815,14.4829,23.1686,,1761.0,752.0,197.0,112.0,,,55.7,4.5,.,,,,,
8.7,,60024.0,.,.,,33.9,85.8,58.6,15.7036,14.4953,23.0112,,1631.0,962.0,226.0,146.0,,,55.7,4.9,.,21.923,20.412,38.019,,
9.5,,60663.0,.,.,,35.0,86.2,59.3,15.7079,14.3278,22.952,,1706.0,1080.0,380.0,152.0,,,56.2,5.2,.,,,,,
