,A072RC1Q156SBEA,BUSLOANS,CE16OV,CIVPART,CONSUMER,CP,DPCCRC1M027SBEA,ECOMPCTSA,GOAI,HDTGPDUSQ163N,IURSA,LES1252881600Q,LNS15000000,M1V,PCE,PSAVERT,RRVRUSQ156N,TDSP,UEMP27OV,UEMPMEAN,UNRATE,W825RC1
1963-04-01,10.7,48.7625333333333333,67635.333333333333,58.7000000000000000,31.8292333333333333,38.652,286.6666666666666667,,,,,,,4.194,378.4333333333333333,10.7000000000000000,8.2,,565.3333333333333333,14.3333333333333333,5.7333333333333333,3.1000000000000000
1963-07-01,10.4,49.5885666666666667,67995.666666666667,58.6333333333333333,32.4858000000000000,39.653,292.1666666666666667,,,,,,,4.248,385.4000000000000000,10.4333333333333333,8.3,,542.6666666666666667,14.0333333333333333,5.5000000000000000,3.0000000000000000
1963-10-01,11.1,51.2744666666666667,68258.000000000000,58.7000000000000000,33.9775666666666667,40.688,296.6000000000000000,,,,,,,4.269,390.0333333333333333,11.0666666666666667,8.3,,513.6666666666666667,13.5000000000000000,5.5666666666666667,3.0000000000000000
1964-01-01,11.1,52.5602333333333333,68613.666666666667,58.7000000000000000,35.0662000000000000,44.409,304.4666666666666667,,,,,,,4.345,399.6000000000000000,11.0666666666666667,8.1,,498.6666666666666667,13.4000000000000000,5.4666666666666667,2.8666666666666667
1964-04-01,11.9,53.7557333333333333,69401.666666666667,58.9666666666666667,36.3451666666666667,44.397,310.8666666666666667,,,,,,,4.372,407.5333333333333333,11.8666666666666667,8.1,,494.0000000000000000,13.2000000000000000,5.2000000000000000,2.9000000000000000
1964-07-01,11.4,55.1984666666666667,69480.000000000000,58.6333333333333333,37.9031000000000000,45.512,317.5666666666666667,,,,,,,4.386,416.4000000000000000,11.3666666666666667,8.4,,497.0000000000000000,13.4666666666666667,5.0000000000000000,2.7333333333333333
1964-10-01,12.1,57.1672333333333333,69710.333333333333,58.5666666666666667,39.1457000000000000,45.174,319.2000000000000000,,,,,,,4.363,419.0000000000000000,12.0666666666666667,8.3,,433.3333333333333333,13.1000000000000000,4.9666666666666667,2.6333333333333333
1965-01-01,11.2,60.1530666666666667,70187.666666666667,58.6666666666666667,40.3138666666666667,50.699,329.1000000000000000,,,,,,,4.457,429.7000000000000000,11.2000000000000000,8.5,,386.6666666666666667,12.2666666666666667,4.9000000000000000,2.5000000000000000
1965-04-01,11.2,63.0697333333333333,70897.333333333333,58.8666666666666667,41.7435333333333333,52.574,333.5333333333333333,,,,,,,4.508,436.6333333333333333,11.1666666666666667,8.2,,362.6666666666666667,11.3666666666666667,4.6666666666666667,2.4333333333333333
1965-07-01,12.0,65.5859666666666667,71369.333333333333,58.9000000000000000,43.4084000000000000,53.516999999999996,340.6000000000000000,,,,,,,4.574,445.8000000000000000,12.0333333333333333,7.8,,335.6666666666666667,11.8000000000000000,4.3666666666666667,2.3000000000000000
1965-10-01,11.4,67.9872333333333333,71827.000000000000,58.9000000000000000,44.7335000000000000,56.577,350.6666666666666667,,,,,,,4.627,459.7666666666666667,11.3666666666666667,8.5,,313.3333333333333333,11.7333333333333333,4.1000000000000000,2.2333333333333333
