DATE,target_leisure_hospitality
1985-01,7708
1985-02,7740
1985-03,7784
1985-04,7812
1985-05,7852
1985-06,7874
1985-07,7884
1985-08,7889
1985-09,7935
1985-10,7954
1985-11,7981
1985-12,8005
1986-01,8026
1986-02,8048
1986-03,8070
1986-04,8093
1986-05,8122
1986-06,8138
1986-07,8167
1986-08,8143
1986-09,8231
1986-10,8252
1986-11,8273
1986-12,8295
1987-01,8319
1987-02,8353
1987-03,8369
1987-04,8399
1987-05,8411
1987-06,8426
1987-07,8446
1987-08,8374
1987-09,8489
1987-10,8547
1987-11,8581
1987-12,8619
1988-01,8664
1988-02,8734
1988-03,8727
1988-04,8735
1988-05,8732
1988-06,8728
1988-07,8740
1988-08,8663
1988-09,8804
1988-10,8869
1988-11,8928
1988-12,8998
1989-01,9072
1989-02,9096
1989-03,9096
1989-04,9076
1989-05,9024
1989-06,8955
1989-07,8936
1989-08,8853
1989-09,9004
1989-10,9126
1989-11,9230
1989-12,9273
1990-01,9290
1990-02,9297
1990-03,9325
1990-04,9289
1990-05,9242
1990-06,9265
1990-07,9294
1990-08,9292
1990-09,9296
1990-10,9256
1990-11,9298
1990-12,9302
1991-01,9294
1991-02,9264
1991-03,9267
1991-04,9228
1991-05,9218
1991-06,9252
1991-07,9220
1991-08,9223
1991-09,9259
1991-10,9263
1991-11,9283
1991-12,9301
1992-01,9361
1992-02,9346
1992-03,9338
1992-04,9362
1992-05,9402
1992-06,9408
1992-07,9438
1992-08,9461
1992-09,9496
1992-10,9545
1992-11,9554
1992-12,9555
1993-01,9582
1993-02,9614
1993-03,9559
1993-04,9668
1993-05,9700
1993-06,9712
1993-07,9739
1993-08,9775
1993-09,9807
1993-10,9844
1993-11,9872
1993-12,9925
1994-01,9959
1994-02,9964
1994-03,10007
1994-04,10052
1994-05,10063
1994-06,10083
1994-07,10108
1994-08,10133
1994-09,10157
1994-10,10160
1994-11,10222
1994-12,10268
1995-01,10348
1995-02,10375
1995-03,10417
1995-04,10438
1995-05,10459
1995-06,10507
1995-07,10535
1995-08,10564
1995-09,10582
1995-10,10579
1995-11,10589
1995-12,10600
1996-01,10613
1996-02,10645
1996-03,10693
1996-04,10720
1996-05,10755
1996-06,10787
1996-07,10801
1996-08,10819
1996-09,10813
1996-10,10858
1996-11,10881
1996-12,10901
1997-01,10921
1997-02,10952
1997-03,10968
1997-04,10984
1997-05,11015
1997-06,11029
1997-07,11016
1997-08,11030
1997-09,11059
1997-10,11062
1997-11,11074
1997-12,11087
1998-01,11100
1998-02,11123
1998-03,11134
1998-04,11156
1998-05,11213
1998-06,11215
1998-07,11248
1998-08,11273
1998-09,11311
1998-10,11298
1998-11,11337
1998-12,11376
1999-01,11385
1999-02,11425
1999-03,11443
1999-04,11478
1999-05,11506
1999-06,11539
1999-07,11546
1999-08,11567
1999-09,11597
1999-10,11648
1999-11,11682
1999-12,11706
2000-01,11713
2000-02,11719
2000-03,11788
2000-04,11834
2000-05,11827
2000-06,11869
2000-07,11900
2000-08,11927
2000-09,11940
2000-10,11876
2000-11,11946
2000-12,11976
2001-01,11977
2001-02,11997
2001-03,12000
2001-04,12040
2001-05,12068
2001-06,12076
2001-07,12110
2001-08,12093
2001-09,12061
2001-10,12015
2001-11,11985
2001-12,11967
2002-01,12006
2002-02,11962
2002-03,11965
2002-04,11928
2002-05,11936
2002-06,11905
2002-07,11912
2002-08,11936
2002-09,11991
2002-10,12070
2002-11,12109
2002-12,12112
2003-01,12173
2003-02,12130
2003-03,12109
2003-04,12085
2003-05,12092
2003-06,12121
2003-07,12143
2003-08,12177
2003-09,12208
2003-10,12259
2003-11,12284
2003-12,12320
2004-01,12346
2004-02,12372
2004-03,12425
2004-04,12435
2004-05,12481
2004-06,12495
2004-07,12495
2004-08,12485
2004-09,12550
2004-10,12582
2004-11,12606
2004-12,12630
2005-01,12665
2005-02,12690
2005-03,12718
2005-04,12802
2005-05,12797
2005-06,12837
2005-07,12867
2005-08,12891
2005-09,12862
2005-10,12840
2005-11,12884
2005-12,12905
2006-01,12945
2006-02,12980
2006-03,13034
2006-04,13074
2006-05,13052
2006-06,13061
2006-07,13130
2006-08,13152
2006-09,13150
2006-10,13187
2006-11,13251
2006-12,13292
2007-01,13338
2007-02,13361
2007-03,13363
2007-04,13375
2007-05,13404
2007-06,13413
2007-07,13417
2007-08,13419
2007-09,13461
2007-10,13499
2007-11,13535
2007-12,13550
2008-01,13542
2008-02,13543
2008-03,13531
2008-04,13511
2008-05,13498
2008-06,13482
2008-07,13463
2008-08,13431
2008-09,13379
2008-10,13352
2008-11,13300
2008-12,13256
2009-01,13222
2009-02,13193
2009-03,13127
2009-04,13056
2009-05,13106
2009-06,13076
2009-07,13078
2009-08,13046
2009-09,13054
2009-10,12995
2009-11,12986
2009-12,12944
2010-01,12932
2010-02,12927
2010-03,12943
2010-04,12979
2010-05,13012
2010-06,13034
2010-07,13048
2010-08,13081
2010-09,13137
2010-10,13127
2010-11,13126
2010-12,13157
2011-01,13149
2011-02,13188
2011-03,13247
2011-04,13298
2011-05,13293
2011-06,13343
2011-07,13370
2011-08,13395
2011-09,13426
2011-10,13464
2011-11,13511
2011-12,13538
2012-01,13600
2012-02,13641
2012-03,13706
2012-04,13709
2012-05,13705
2012-06,13702
2012-07,13735
2012-08,13804
2012-09,13872
2012-10,13883
2012-11,13910
2012-12,13978
2013-01,14037
2013-02,14082
2013-03,14113
2013-04,14152
2013-05,14193
2013-06,14252
2013-07,14288
2013-08,14327
2013-09,14339
2013-10,14395
2013-11,14432
2013-12,14454
2014-01,14489
2014-02,14509
2014-03,14564
2014-04,14614
2014-05,14670
2014-06,14693
2014-07,14703
2014-08,14725
2014-09,14768
2014-10,14811
2014-11,14849
2014-12,14892
2015-01,14915
2015-02,14972
2015-03,14981
2015-04,15023
2015-05,15103
2015-06,15108
2015-07,15168
2015-08,15201
2015-09,15279
2015-10,15316
2015-11,15374
2015-12,15406
2016-01,15454
2016-02,15494
2016-03,15535
2016-04,15562
2016-05,15583
2016-06,15639
2016-07,15679
2016-08,15725
2016-09,15785
2016-10,15780
2016-11,15826
2016-12,15845
2017-01,15867
2017-02,15905
2017-03,15919
2017-04,15988
2017-05,16021
2017-06,16063
2017-07,16129
2017-08,16139
2017-09,16090
2017-10,16158
2017-11,16175
2017-12,16192
2018-01,16188
2018-02,16213
2018-03,16215
2018-04,16217
2018-05,16262
2018-06,16308
2018-07,16344
2018-08,16348
2018-09,16329
2018-10,16363
2018-11,16371
2018-12,16418
2019-01,16496
2019-02,16466
2019-03,16488
2019-04,16507
2019-05,16514
2019-06,16524
2019-07,16535
2019-08,16580
2019-09,16648
2019-10,16727
2019-11,16769
2019-12,16811
2020-01,16858
2020-02,16915
2020-03,16133
2020-04,8691
2020-05,10146
2020-06,12158
2020-07,12824
2020-08,12963
2020-09,13357
2020-10,13622
2020-11,13632
2020-12,13134
2021-01,13109
2021-02,13464
