DATE,CONSUMER
1990-07-01,373.1109666666666667
1990-10-01,375.2158333333333333
1991-01-01,371.6386333333333333
1991-04-01,370.2659333333333333
1991-07-01,365.3767333333333333
1991-10-01,362.4296000000000000
1992-01-01,361.4994666666666667
1992-04-01,357.8369666666666667
1992-07-01,354.9556666666666667
1992-10-01,353.0463333333333333
1993-01-01,358.4065000000000000
1993-04-01,362.8386333333333333
1993-07-01,371.5654000000000000
1993-10-01,380.9370666666666667
1994-01-01,390.9169666666666667
1994-04-01,403.3032666666666667
1994-07-01,420.2758333333333333
1994-10-01,437.4397333333333333
1995-01-01,449.2668666666666667
1995-04-01,460.4733000000000000
1995-07-01,472.4449666666666667
1995-10-01,478.6995666666666667
1996-01-01,485.6268000000000000
1996-04-01,490.7280000000000000
1996-07-01,495.9850333333333333
